questionID,category,sets,question,A,B,C,D,AnswerKey
Mercury_177730,Test,easy,"In 1922 N. L. Bowen developed the concept of magmatic evolution which is also known as Bowen's Reaction Series. Applying the Bowen's Series principles, what mineral forms and crystallizes first in the region of highest temperature and pressure?  ", olivine , pyroxene , amphibole , quartz,A
Mercury_SC_LBS10169,Test,easy,Which of these occurs when the North Pole is tilted toward the Sun and the United States has the most daylight hours of the year? , summer solstice , winter solstice , spring equinox , fall equinox,A
Mercury_185500,Test,easy,A ball rolls across the floor and slows down to a stop. Which force caused the ball to slow down? , friction , gravity , magnetic , inertia,A
ACTAAP_2008_7_16,Test,easy,Which energy source might involve burning wood or producing gasohol? , biomass , wind turbine , nuclear fission , hydroelectric power,A
Mercury_SC_401642,Test,easy,A marine iguana is an animal that lives on the shoreline of warm islands. Its tail is long and thick. Which of these is improved by the shape of its tail? , swimming in the ocean , blending in with rocks , absorbing nutrients , finding food inland,A
Mercury_SC_406885,Test,easy,Hector's class is counting the number of ducks in a pond. Hector counts a different number than the rest of the class. Which of the following actions should Hector most likely perform? , keep the result , change the number he counted , think that the class results are wrong , remove his number from the class result,A
MCAS_2010_8_12006,Test,easy,"The Appalachian Mountains, which extend from Canada to Alabama, were much taller in the past than they are today. Which of the following two processes are most responsible for the decrease in the height of the Appalachian Mountains? ", weathering and erosion , sedimentation and flooding , volcanic eruptions and landslides , tectonic collisions and earthquakes,A
MCAS_2000_8_20,Test,easy,Which is not a significant reason why people are living longer today than 100 years ago? , development of sugar substitutes , development of medicines , better health care , better nutrition,A
Mercury_7283693,Test,easy,"The engineering team that is designing a scientific research station on the Arctic permafrost has to provide the station with energy for cooking, heating, and lighting. Considering the fragile environment and other conditions there, the best choice is probably to ", build a wind turbine. , have fuel trucked in. , have a pipeline built. , build a solar collector.,A
MEA_2016_5_5,Test,easy,"A student walks to school each morning in Maine. It is dark outside when he begins walking. As the days pass, the student notices the mornings are becoming brighter. The Sun is rising earlier each day. He also notices that there is more daylight after school. The Sun is setting later in the day. Which change of seasons is occurring? ", winter to spring , summer to fall , spring to winter , fall to winter,A
TIMSS_2011_8_pg50,Test,easy,Where did organisms live when they first appeared on Earth? , in the water , in the air , on the land , under the ground,A
Mercury_SC_401190,Test,easy,Which of these items is designed to produce heat from electricity? , a toaster , a camera , a blender , a television,A
Mercury_7141785,Test,easy,Which calculation is used to determine acceleration? , divide change in velocity by change in time , multiply average velocity by change in time , divide average velocity by mass , multiply change in velocity by distance traveled,A
Mercury_404900,Test,easy,During which process are nuclei duplicated? , mitosis , respiration , photosynthesis , fertilization,A
Mercury_7025025,Test,easy,In the rock cycle an igneous rock forms from , cooling temperatures , high pressure and heat , weathering and erosion , compacted plant remains,A
Mercury_SC_400118,Test,easy,"In order for electricity from a battery to power a light bulb, the wire has to provide the electricity a path to do what? ", flow through the entire closed circuit , charge the air molecules near the circuit , jump from one battery terminal to the other , change the chemical properties of the wire,A
Mercury_416411,Test,easy,Which of the following contains most of the water on Earth? , the oceans , watersheds , the atmosphere , ice and aquifers,A
Mercury_7027388,Test,easy,A student plans to measure the thermal expansion of a strip of metal as it is heated from 0ºC to 50ºC. Which piece of equipment should he use to measure the expansion? , a ruler , a balance , a compass , a protractor,A
Mercury_7221445,Test,easy,The driver of a car at a railroad crossing hears a change in pitch of the train whistle as the train passes by. This change in pitch is most likely due to , the Doppler effect. , the Compton effect. , a change in medium. , a change in speed.,A
ACTAAP_2010_5_9,Test,easy,Which is an example of a hypothesis? , Large mice will eat more food than smaller mice. , One flower was measured to be 13 centimeters tall. ," On a dark night, a student counted hundreds of stars. ", People should be careful to protect endangered animals.,A
MCAS_2004_5_2,Test,easy,Marta has a radio in her room. It requires electricity in order to play. Which of the following is necessary in order for electricity to move from the source to the radio? , a circuit , a magnet , a light bulb , an insulator,A
VASoL_2010_3_20,Test,easy,"Having dry, hot weather for a long time can cause a ", drought , thunderstorm , tornado , flood,A
MCAS_2013_8_29417,Test,easy,A scientist wants to collect several bird eggs on an island. She needs a case that will protect the eggs she collects. Which of the following cases would best protect the eggs? , a hard metal case with flexible foam lining , a flexible metal case with smooth plastic lining , a strong wooden case with lightweight plastic lining , a lightweight wooden case with strong aluminum lining,A
Mercury_SC_413009,Test,easy,How does the Sun help move water from the ocean through the water cycle? , by causing surface water to evaporate , by adding particles to the water , by increasing the amount of water , by blowing water toward land,A
Mercury_401010,Test,easy,"What would a model of the Sun, Earth, and Moon best help students visualize? ", the phases of the Moon , the effects of gravitation , the effects of volcanic eruptions , the consequences of earthquakes,A
Mercury_7075180,Test,easy,A paramecium is an example of , a single-celled organism. , multiple organisms. , an inorganic substance. , a group of cells.,A
MCAS_2002_8_14,Test,easy,Steel is used for cables in suspension bridges because of its capacity for , tension. , torsion. , compression. , contraction.,A
Mercury_7013230,Test,easy,"The skin, lungs, and kidneys work together to ", help eliminate body wastes. , help blood circulate. , aid in digestion. , aid in respiration.,A
Mercury_7144498,Test,easy,Researchers are investigating whether dinosaurs were endothermic like birds. Which evidence from the fossil record could be effectively compared with modern day evidence to support this hypothesis? , similarities in bone structure , seasonal shifts in food supply , consumption of the same plant species , tree rings indicating the return of a similar climate,A
Mercury_411070,Test,easy,"A train travels at a rate of 13 meters per second (m/s). Over the next 60 seconds, the speed of the train increases to speed to 22 m/s. What is the average rate of acceleration of the train? ", 0.15 m/s^2 , 0.21 m/s^2 , 0.36 m/s^2 , 0.58 m/s^2,A
Mercury_7220518,Test,easy,Which trait is common in gases that contribute to Earth's greenhouse effect? , the ability to trap heat , a tendency to lose electrons , a tendency to exist as diatomic molecules , the ability to bond with multiple other elements,A
Mercury_SC_406070,Test,easy,"A student is pouring equal amounts of water, maple syrup, and cooking oil into a glass beaker and looking at how the layers settle. Which property of the liquids is the student most likely comparing? ", density , mass , temperature , volume,A
Mercury_SC_408905,Test,easy,Betsy tries to attract a variety of birds to her backyard. She puts up a bird feeder that contains sunflower seeds and corn. Which term best describes the contents of the bird feeder? , a mixture , a solution , an element , a compound,A
Mercury_182928,Test,easy,Similar types of cells form tissues. What is the next level of complexity formed from the grouping of tissues? , organs , organelles , organisms , organ systems,A
Mercury_410702,Test,easy,The length of a year on Earth is a little over 365 days. The length of a year on a planet is best described as the time it takes for which to occur? , the planet to revolve once around the Sun , the seasons to complete a full cycle , the planet to rotate once on its axis , the Sun to rotate once on its axis,A
Mercury_7171588,Test,easy,"The human body has different levels of organization. In the structural organization of the central nervous system, which is an organ? ", brain , grey matter , nerve , neuron,A
Mercury_7170643,Test,easy,Respiration is a process during which energy is released from glucose. This energy is used for processes such as growth of the body. Which type of energy does respiration release? , chemical , kinetic , potential , thermal,A
Mercury_7012688,Test,easy,"A ""light year"" refers to ", the distance light travels in one year. , the of time it takes light to travel from Earth to the Sun. , the amount of light required on Earth in one year. , the distance between two sources of light.,A
AIMS_2009_4_13,Test,easy,All animals need air to survive. An insect gets air through tiny holes on the sides of its body. A whale breathes through a blow hole. What body part do fish use to breathe? , gills , skin , nose , mouth,A
AIMS_2008_8_7,Test,easy,Which of the following is a benefit of using radiation as a medical treatment? , It kills cancer cells. , It produces healthy cells. , It improves immune system function. , It prevents many forms of illness in patients.,A
TIMSS_2003_8_pg48,Test,easy,"Three gases found in Earth's atmosphere are carbon dioxide, nitrogen, and oxygen. What is their order of abundance from greatest to least? "," nitrogen, oxygen, carbon dioxide "," nitrogen, carbon dioxide, oxygen "," oxygen, nitrogen, carbon dioxide "," carbon dioxide, oxygen, nitrogen",A
MDSA_2012_8_1,Test,easy,Fossil fuels are common sources of energy. What type of pollution is most often associated with burning fossil fuels? , air , land , noise , water,A
Mercury_SC_406840,Test,easy,Which part of a plant helps the plant make food from sunlight? , leaf , seed , fruit , pollen,A
Mercury_7207183,Test,easy,Sandstone and all other types of sedimentary rock are made up of particles. The source materials of these particles consist of , fragments that broke off of older rocks. , magma that cooled deep below a volcano. , gases that condensed in the atmosphere. , vegetation that decayed in thick layers.,A
Mercury_SC_400005,Test,easy,A tree uses gas A to produce gas B. An animal uses gas B to produce gas A. What is gas B in this cycle? , oxygen , nitrogen , carbon dioxide , carbon monoxide,A
AKDE&ED_2012_4_29,Test,easy,Which statement describes a property of water that most likely causes large rocks to break apart? , Water expands when it freezes. , Water forms droplets as it falls. , Water turns into a gas when it boils. , Water takes the shape of its container.,A
Mercury_SC_LBS10939,Test,easy,"Centuries ago, people used their knowledge of the stars to ", navigate ships. , study the weather. , predict volcanic eruptions. , map the Earth's surface.,A
Mercury_7014403,Test,easy,Acid rain is the result of pollutants being released into the , air. , soil. , rivers. , oceans.,A
NYSEDREGENTS_2013_4_19,Test,easy,Animals get the energy they need for growth and repair by , eating food , absorbing sunlight , eliminating waste , drinking water,A
Mercury_7199045,Test,easy,"Anita heats a beaker containing water. As the temperature of the water increases, which change to the water molecules occurs? ", The molecules move at a faster rate. , The molecules become more massive. , The molecules expand and become wider. , The molecules separate into atoms of hydrogen and oxygen.,A
Mercury_7267505,Test,easy,Which of the following are likely to do the most damage to ecosystems along the Rio Grande River? , floods , tsunamis , blizzards , earthquakes,A
Mercury_SC_405026,Test,easy,A class made a solar cooker out of a large can. What color should they paint the can in order to collect the most heat? , black , green , pink , white,A
Mercury_SC_400031,Test,easy,What information would be most helpful to a person with allergies when selecting food products? , the ingredients , the serving size , the nutritional information , the company that makes it,A
ACTAAP_2009_5_1,Test,easy,Which planet is fourth from the Sun in our solar system? , Mars , Earth , Venus , Jupiter,A
Mercury_SC_405999,Test,easy,Students wanted to see if the growth of a plant was affected by using four different types of soil. How should the students best carry out this investigation after potting the plants in the four different types of soil? , observe the plants and record observations daily , move the plants to new locations every day , measure the height of each plant every hour , add different amounts of water to each plant,A
Mercury_7008698,Test,easy,The number of neutrons in an atom is found by subtracting , atomic number from mass number. , mass number from atomic number. , atomic number from electron number. , isotope number from electron number.,A
NYSEDREGENTS_2010_4_15,Test,easy,"As the distance between a magnet and a metal paper clip increases, the force of attraction between them ", decreases , increases , remains the same,,A
Mercury_412695,Test,easy,Which set of elements have chemical properties similar to those of phosphorus? ," nitrogen, arsenic, and antimony "," carbon, selenium, and iodine "," silicon, sulfur, and germanium "," silicon, sulfur, and chlorine",A
Mercury_7283710,Test,easy,"All energy resources have benefits, risks, and drawbacks. Which two resources present the most dangerous risks and consequences for the environment during their acquisition?  ", oil and coal , coal and solar energy , geothermal energy and oil , solar energy and geothermal energy,A
Mercury_7201320,Test,easy,A scientist performs an experiment which suggests a new explanation for the digestion of certain proteins in humans. These results should first be communicated to the scientific community by which means? , submission of an article to a peer-reviewed journal , inclusion of the new explanation in a biology textbook , posting observations and conclusions on the scientist's website , inviting reporters from many organizations to a press conference,A
MCAS_2000_8_32,Test,easy,Which is an example of asexual reproduction? , one cell divides into two cells , two cells unite to form one cell , a gene in a cell mutates , egg cells are produced,A
NYSEDREGENTS_2013_4_10,Test,easy,The appearance of the Moon as observed from Earth changes over time because of the Moon's , path around Earth , length of daylight , gravity , temperature,A
Mercury_411744,Test,easy,Which has the longest wavelength? , red light , green light , violet light , yellow light,A
Mercury_LBS10778,Test,easy,"If the Earth did not tilt on its axis in relation to the sun, which of the following would also be true? ", There would be no seasons. , One Earth-year would be 14% longer. , The Earth would spin at a different rate. , Temperatures at the Earth's equator would cool.,A
Mercury_7012863,Test,easy,What is one of the major advantages of using hydroelectric power? , It uses renewable natural resources. , It is easily generated in most big cities. , It can be generated from any area on Earth. , It does not require special buildings or equipment.,A
Mercury_SC_415395,Test,easy,What is the difference between magma and lava? , Magma is below ground. Lava is above ground. , Magma is cool. Lava is hot. , Magma comes out of earthquakes. Lava comes out of volcanoes. , Magma is solid. Lava is liquid.,A
MCAS_2004_5_30,Test,easy,"On a day in early spring, the number of hours of daylight and of night are about the same. From sunrise to sunset on a spring day, Earth has ", completed half of one rotation. , been in the shadow of the Moon. , been circled by the Moon one time. , moved to the opposite side of the Sun.,A
Mercury_7032480,Test,easy,"When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? ", Nervous , Digestive , Circulatory , Respiratory,A
Mercury_7041265,Test,easy,"Two chemicals are mixed in a test tube and a chemical reaction takes place. If this reaction is endothermic and the test tube is touched, which of the following best describes what is felt? ", The test tube is cold. , The test tube is warm. , The test tube is very hot. , The test tube is the same temperature as the air.,A
ACTAAP_2012_7_14,Test,easy,Which layer of the atmosphere contains about 75% of the gasses and almost all of the water vapor? , troposphere , stratosphere , mesosphere , thermosphere,A
Mercury_7056490,Test,easy,"If the Earth rotated in the opposite direction, what would most likely occur? ", The Sun would rise in the west. , The seasons would be reversed. , There would be more days in each year. , The phases of the Moon would last longer.,A
Mercury_SC_401673,Test,easy,A student uses a fan and a box of sand to model the formation of sand dunes. This model shows the effect of which natural factor on the landscape? , wind , water , temperature , gravity,A
Mercury_401583,Test,easy,"A model of an atom includes red marbles for electrons, green marbles for protons, and blue marbles for neutrons. All marbles have a radius of 2 cm. How could the model be changed to represent more properties of an atom? ", by using smaller marbles to represent electrons , by using two marbles to represent each neutron , by using two differently colored marbles for protons , by switching the colors of the marbles,A
Mercury_177188,Test,easy,The smallest particle of matter that can be identified as an element is called , an atom. , a proton. , an electron. , a molecule.,A
Mercury_416539,Test,easy,The empty spaces in a material are called pores. Porosity is the amount of empty space within a material. Permeability describes how well the pores in a material are connected. Which of these materials would make the most effective aquifer? , a material that has high porosity and high permeability , a material that has high porosity and low permeability , a material that has low porosity and high permeability , a material that has low porosity and low permeability,A
Mercury_7085313,Test,easy,"A student identifies a soil sample as ""very gritty."" What characteristic of the soil did the student describe? ", texture , hardness , organic content , water retention,A
Mercury_7083790,Test,easy,The charge of the nucleus of an atom is due to the presence of , positive protons. , negative neutrons. , negative protons and positive electrons. , positive protons and negative neutrons.,A
MDSA_2008_5_23,Test,easy,Many natural resources are found in Maryland and the surrounding area. Some of these natural resources are renewable and some are nonrenewable. People use both kinds of resources in daily activities. Using natural resources often produces waste products. Which of these natural resources found in Maryland is nonrenewable? , coal , soil , water , wood,A
Mercury_SC_400125,Test,easy,The shape of a riverbed changes over time as a result of which gradual process? , erosion , dissolving , plate shifting , compaction,A
TIMSS_1995_8_Q11,Test,easy,Which statement explains why daylight and darkness occur on Earth? , The Earth rotates on its axis. , The Sun rotates on its axis. , The Earth's axis is tilted. , The Earth revolves around the Sun.,A
MCAS_2000_8_37,Test,easy,What type of force keeps the planets orbiting the Sun? , gravitational , magnetic , electrical , nuclear,A
Mercury_7268765,Test,easy,"Dr. Wagner is investigating a newly discovered, disease-causing agent. She determines that one structure in the agent is double-stranded RNA. What kind of agent is Dr. Wagner studying?  ", a virus , a protist , a fungus , a bacterium,A
Mercury_7248290,Test,easy,Which activity is an important function of nucleases? , repairing the double strand of DNA , concentrating RNA into a nucleolus , maintaining homeostasis of nucleoplasm , dissolving the nuclear membrane during mitosis,A
MCAS_1998_8_22,Test,easy,"A plant scientist is developing a new fertilizer called Hypergrow. She designs an experiment to test whether Hypergrow helps plants grow faster than Supergrow, a fertilizer already on the market. Which of the following should the scientist do with light during the experiment? ", Apply the same amount of light to all the plants. , Apply only green light to all the plants. , Flash the lights to simulate a partly cloudy day. , Keep the plants in darkness.,A
Mercury_184380,Test,easy,Which group of organisms is most responsible for changing the composition of Earth's early atmosphere? , algae , fungi , reptiles , angiosperms,A
Mercury_7017885,Test,easy,The motion of atoms and molecules in a substance is , thermal energy. , chemical energy. , mechanical energy. , electromagnetic energy.,A
MCAS_8_2015_13,Test,easy,Euglena is a single-celled photosynthetic organism. Clover is a multicellular green plant. Which of the following activities is carried out by both euglena and clover? , using light energy to produce sugar , producing sex cells for reproduction , moving nutrients to specialized tissues , transmitting impulses along nerve pathways,A
Mercury_405452,Test,easy,"What is a benefit of using technology, such as robotics, in manufacturing? ", decreased production cost , decreased productivity , increased number of manual-labor jobs , increased number of design flaws,A
MDSA_2009_4_24,Test,easy,"A leaf is covered in mud during a landslide. After one million years, this leaf will most likely be ___. ", a fossil , an animal species , a new plant species , a nonrenewable fuel,A
Mercury_7124355,Test,easy,Which characteristic would a scientist most likely maintain throughout an investigation? , being open to new ideas , sharing limited research , focus on completing research first , focus on formulating conclusions,A
NYSEDREGENTS_2008_4_8,Test,easy,A magnet and a metal paper clip have the strongest magnetic attraction when the distance between them is , 4 centimeters , 8 centimeters , 12 centimeters , 16 centimeters,A
MCAS_2004_9_21,Test,easy,"In the first step of making some ceramic cups, the following manufacturing process is used. Liquid clay is poured into a mold, allowed to solidify, then removed from the mold. What is the name of this manufacturing process? ", casting , milling , finishing , refining,A
Mercury_SC_409038,Test,easy,The first telescopes were invented hundreds of years ago. Which was discovered as a result of this invention? , the moons of Jupiter , the bacteria that causes disease , the deep-sea trenches in the ocean , the parts of a plant that perform photosynthesis,A
Mercury_415689,Test,easy,What process in the atmosphere protects people from the ultraviolet rays in sunlight? , Ozone absorbs ultraviolet light. , Nitrogen reflects ultraviolet light. , Water vapor scatters ultraviolet light. , Carbon dioxide blocks ultraviolet light.,A
MCAS_2006_8_21,Test,easy,Which of the following is the best example of a part of the propulsion system of a tractor? , engine , front headlight , hood , steering wheel,A
Mercury_7094465,Test,easy,How do sprouting plants exhibit positive gravitropism? , The roots turn downward. , The roots move horizontally. , The leaves face toward the Sun. , The stems curl around supports.,A
Mercury_407129,Test,easy,Which tool would be best for students to use to observe and measure plant cells? , microscope , hand lens , metric ruler , triple-beam balance,A
Mercury_SC_400526,Test,easy,The water cycle includes which processes? ," evaporation, condensation, precipitation "," metamorphosis, evaporation, respiration "," precipitation, perspiration, mitosis "," fixation, decomposition, respiration",A
TIMSS_2003_4_pg13,Test,easy,Which plant is grown for food? , Rice , Tobacco , Orchid , Cotton,A
Mercury_7239715,Test,easy,Which cell function is most directly dependent on the cytoskeleton? , transport of material inside the cell , response of the cell to external pathogens , storage of energy in stable long-term forms , direction of cellular activity,A
Mercury_SC_406793,Test,easy,"When a plane flies, it travels through air that contains gases, liquids, and solids. This area is best described as the ", atmosphere. , lithosphere. , biosphere. , hydrosphere.,A
Mercury_7026618,Test,easy,The amount of elements heavier than hydrogen is constantly increasing in the universe. Which best identifies the bodies in which this change is taking place? , stars , planets , galaxies , solar systems,A
Mercury_176558,Test,easy,What does the mechanical energy of a system include? , the sum of the potential and kinetic energy , the difference of the potential and kinetic energy , only the kinetic energy , only the potential energy,A
Mercury_SC_408424,Test,easy,"On a class field trip, Zach took a walk through the woods using his senses. Zach made observations on the different sights, smells, and sounds in the woods. What system transferred the observations from his senses to his brain? ", nervous system , digestive system , circulatory system , respiratory system,A
Mercury_SC_LBS10267,Test,easy,Which of the following was invented by Benjamin Franklin? , bifocal lens , telescope lens , telephone , camera,A
Mercury_404101,Test,easy,Which event most likely takes place as the result of crustal movement along transform boundaries? , earthquakes , volcanic activity , mountain building , trenches,A
Mercury_SC_415369,Test,easy,Moths undergo complete metamorphosis. Which stages does a moth's life cycle include? ," egg, larva, and pupa "," egg, nymph, and pupa "," nymph, larva, and pupa "," nymph, egg, and larva",A
Mercury_400332,Test,easy,"In humans, a V-shaped hairline is dominant over a straight hairline. If one parent is homozygous for a V-shaped hairline ( HH ) while the other parent is homozygous for a straight hairline ( hh ), what is the probability that the offspring of these parents will have a straight hairline? ",0%,50%,75%,100%,A
MCAS_2003_8_17,Test,easy,Which of the following symbiotic relationships is considered parasitic? , ticks feeding on a dog , bees transporting pollen from flowers , pilotfish swimming under sharks , birds eating the insects from the back of a hippopotamus,A
TIMSS_2003_4_pg20,Test,easy,What will most likely affect your adult height? , The height of your parents , The height of your brothers and sisters , Your hair color , Your weight,A
Mercury_SC_405197,Test,easy,Scientists study fossils to learn about extinct plants and animals. Which of these is the best example of a fossil? , a footprint in a rock , a seashell under water , a leaf in a mudpuddle , a bone on top of a sand pile,A
Mercury_7136483,Test,easy,"Daphnee is going to build a model of the solar system for her science project. She decides that a meter (m) will represent one astronomical unit (AU) in her model. Based on this scale, how far away from the Sun would she need to place Earth? ", one meter , two meters , three meters , four meters,A
MEA_2013_5_9,Test,easy,A lizard in a desert sits on a warm rock. Where does the heat energy in the rock come from? , the Sun , the lizard's skin , deep within Earth , the decay of plant materials,A
Mercury_7043908,Test,easy,What is the major cause of ocean waves? , wind , Moon's gravity , salinity , Earth's rotation,A
MEA_2013_5_11,Test,easy,A scientist compares ancient animal tracks to modern animal tracks. Which conclusion is the scientist most likely to reach? , Some ancient animals and some modern animals walk on four legs. , Most ancient animals and most modern animals hunt animals for food. , The same animals that lived long ago also live today. , All animals can walk.,A
CSZ_2005_5_CSZ10247,Test,easy,Which of the following is broken down in the body to release energy? , sugar. , water. , salt. , oxygen.,A
NYSEDREGENTS_2015_4_6,Test,easy,Which unit of measurement should be used to describe the  mass of an apple? , gram , liter , minute , meter,A
Mercury_SC_413146,Test,easy,"The teacher heats a pot of water. Once the water reaches 100°C, which point has the water reached? ", boiling , melting , freezing , evaporating,A
Mercury_7017185,Test,easy,What is the major cause of seasonal changes? , tilt of the Earth's axis , Earth changing its distance from the Sun , changing patterns in wind and ocean currents , cycles in the amount of energy released by the Sun,A
Mercury_182700,Test,easy,"In 1989, the unusually low snowpack in portions of the Sierra Nevada Mountains led to a widespread emergence of Edith's checkerspot butterflies in April. In these regions, flowers do not appear until May. What was the most likely result of the early emergence of these butterflies? ", Most butterflies did not survive. , Most butterflies reproduced earlier. , Most butterflies switched to other food sources. , Most butterflies adapted to the new environment.,A
MCAS_2000_4_23,Test,easy,Cactus plants grow best in environments (habitats) that are , hot and dry. , hot and wet. , cold and dry. , cold and wet.,A
NAEP_2005_4_S12+7,Test,easy,Where does water in a lake get most of its energy to evaporate? , The sun heating the lake , Green plants living in the lake , Streams entering the lake , Cold springs under the lake,A
MDSA_2011_8_39,Test,easy,A light bulb transforms electrical energy into light energy. A light bulb also transforms electrical energy into , heat energy , potential energy , magnetic energy , mechanical energy,A
LEAP__5_10309,Test,easy,"Many human activities, such as driving a car, cause the release of air pollutants. Which substance is a common air pollutant when driving a car? ", carbon monoxide , chlorine , nitrogen , iron oxide,A
MCAS_2004_9_4,Test,easy,"What is the mass of an asteroid with a speed of 200 m/s and a momentum of 2,000 kg x m/s? ", 10 kg ," 1,800 kg "," 2,200 kg "," 400,000 kg",A
Mercury_406785,Test,easy,What must happen in order for scientific data to be verified through repetition? , Accurate records must be kept. , Modern technology must be used. , Investigations must be conducted by trained scientists. , Observations must be made by more than one scientist.,A
Mercury_7185710,Test,easy,"A student is conducting an investigation using chemicals. Other than goggles and gloves, what else should the student use in order to conduct this investigation safely? ", lab coat , Petri dish , Bunsen burner , loose-fitting clothing,A
Mercury_7159583,Test,easy,"A drug company developed a pill to reduce cases of stomach virus. To test the medication, half of the participants got the pill with the new medicine and half got a sugar pill. Which term best identifies the participants who got a sugar pill? ", control , experimental , dependent variable , independent variable,A
ACTAAP_2007_7_9,Test,easy,What is the downward movement of water through pores and other spaces in soil due to the force of gravity? , percolation , evaporation , precipitation , condensation,A
MCAS_2010_8_12020,Test,easy,A company is making prototypes for a new computer system. Which of the following statements best describes an advantage of making several different prototypes? , They can be tested at the same time. , They can be produced in large numbers. , They will be bought by many different users. , They will be sold for more than they cost to build.,A
Mercury_SC_LBS10344,Test,easy,How does the presence of organic matter contribute to good soil? , It adds nutrients to the soil. , It helps the soil to dry out. , It keeps the soil cool. , It destroys bacteria in the soil.,A
VASoL_2008_5_40,Test,easy,A wild turkey's forest community includes , insects , rainfall , soil , wind,A
Mercury_7239435,Test,easy,Which of the following travels from neuron to neuron as information is transmitted? , electrochemical impulses , RNA strands , transport vesicles high in ATP , mechanical forces,A
Mercury_SC_402614,Test,easy,Which of the following has the ability to change the state of matter? , heat , wind , light , sound,A
ACTAAP_2010_5_13,Test,easy,"Many things can contribute to the development of a theory. A student made a list of some things that might help scientists develop a theory. Observations Calculations Conversations Publications From the student's list, which must be used in the development of every theory? ", Observations , Conversations , Publications and calculations , Calculations and conversations,A
Mercury_7145950,Test,easy,The average car uses about 25% of the available energy in each gallon of gasoline. The energy not used to run the car is released as heat and sound. Which statement best describes this occurrence? , Energy conversion reduces efficiency. , Energy is destroyed at high temperatures. , Energy loss increases the order in a system. , Energy levels increase as conversions take place.,A
Mercury_SC_401001,Test,easy,Pouring water over a sloping tray of soil demonstrates how , soil can be washed away. , soil creation may take years. , river sediment forms a delta. , planting grass protects the soil.,A
MCAS_2006_9_17,Test,easy,Why is the particular sequence of bases in a segment of DNA important to cells? , Some base sequences code for protein production. , Some base sequences cause the release of lipids from the nucleus. , Some base sequences contain the order of sugars in polysaccharides. , Some base sequences produce electrical signals sent to the cytoplasm.,A
Mercury_7041230,Test,easy,"When nearly vertical rays of solar energy strike a region of the Earth, that area has warm temperatures. What region of the Earth gets nearly vertical rays of solar energy year around? ", Equator , Australia , United States , North and South Poles,A
Mercury_401659,Test,easy,"A student ties a string around a weight and swings the weight in a circle around her body. If the student represents the Sun and the weight represents Earth, what does the string represent? ", gravity , radiation , electricity , magnetism,A
VASoL_2008_5_34,Test,easy,"Students notice that in the fall leaves of sugar maple trees turn red, but the leaves of black oak trees turn brown. The students are making ", an observation , a conclusion , a prediction , an inference,A
Mercury_SC_400034,Test,easy,Isaac Newton is best known for his study of , motion. , weather. , body systems. , the history of Earth.,A
MDSA_2011_4_5,Test,easy,Some objects are attracted by magnets. Which object is attracted by a magnet? , an iron nail , an ice cube , a plastic knife , a wooden ruler,A
MCAS_2007_5_4785,Test,easy,Which form of precipitation is most likely to cause damage when hitting the roof of a car? , hail , rain , sleet , snow,A
Mercury_412696,Test,easy,"The density of 200 mL of water was determined, and then 20 grams of sugar was dissolved in the water. The student determined the density of the sugar-water solution and recorded the collected data in a table. The sugar in this investigation is ", the solute. , undergoing chemical change. , the solvent. , changing from a solid to a gas.,A
Mercury_405772,Test,easy,Which invention has done the most to help predict weather and warn people of approaching storms? , satellites , airplanes , barometers , maps,A
TIMSS_2011_8_pg77,Test,easy,Which of the following statements is true about organisms that are producers? , They use energy from the sun to make food. , They absorb energy from a host animal. , They get energy from eating living animals. , They get energy by breaking down dead plants and animals.,A
Mercury_SC_LBS10591,Test,easy,Which is most likely to cause an organism to become endangered or extinct? , habitat loss , behavioral changes , increased reproduction rate , altered migration patterns,A
Mercury_7283465,Test,easy,Which of these is part of the description of protein? , a folded chain of amino acids , a folded chain of carbohydrates , a branched chain of fatty acids , a branched chain of nucleic acids,A
Mercury_7270043,Test,easy,"Most electricity in the United States is generated using coal, natural gas, nuclear energy, or hydropower. Which of these add carbon dioxide to the atmosphere? ", coal and natural gas , natural gas and nuclear energy , nuclear energy and hydropower , hydropower and coal,A
Mercury_SC_400593,Test,easy,A student has recorded rainfall amounts for 28 days and uses a calculator to determine the total rainfall. What does the student calculate when she divides the total rainfall by 28? , mean rainfall , rainfall mode , median rainfall , percentage of rainfall,A
Mercury_175280,Test,easy,Which of the following was most likely the cause of the extinction of 60-100 species of native birds in Hawaii since the arrival of colonists? , habitat destruction , volcanic eruptions , increased salinity , tidal waves,A
Mercury_7009835,Test,easy,"When using a microscope, it is best to use a wet mount to ", observe live organisms. , show the interior of sliced objects. , highlight objects with chemical dyes. , remove debris that is obscuring the object.,A
Mercury_SC_415335,Test,easy,How does the Sun power the water cycle? , Energy from the Sun evaporates water. , Energy from the Sun condenses water. , Energy from the Sun precipitates water. , Energy from the Sun collects water.,A
Mercury_7221025,Test,easy,Rheumatoid arthritis is an autoimmune disease that affects the joints. Which of these events causes the symptoms of this disease? , The body's immune system attacks specific tissues. , The cells of the immune system begin to grow rapidly. , The body's immune system fails to fight off infections. , The cells of the immune system are absorbed by antigens.,A
Mercury_SC_LBS10620,Test,easy,Which would be best seen through a telescope? , a moon , a cell , a light ray , a molecule,A
