questionID,question,info
Mercury_SC_408664,Ellie growing vegetable garden. season plants Ellie's garden receive energy Sun growing?,"GARDEN ADB (Home) vegetable garden information on planting and growing seasons LIFE. The Vegetable Garden The Gardens at Thunder Ridge The Vegetable Garden Each year a large vegetable garden is planted and maintained throughout the growing season. Burpee: The Complete Vegetable & Herb Gardener by Karan Davis Cutler, Cavagnarok David (Photographer), Barbara W. Ellis Guide to growing your garden organically. garden Plants grow in a garden. In the growing season, she raised a garden of vegetables. Few vegetables occupy the garden for the whole growing season. Gardening Learn how to plant, grow, and harvest vegetables. Get Growing Planting your own vegetables in a garden. Grow plants in the vegetable garden or in landscape beds. By planting gardens and growing our own vegetables. GARDEN ADB (Home) vegetable garden information on planting and growing seasons LIFE. "
Mercury_7187040,"Scientists launch rocket space mission. rocket escapes gravitational pull Earth, mass weight rocket affected?","A rocket launched from Kennedy Space Center must accelerate to 11.18 km/s, or 18,300 m.p.h. to escape Earth's gravitational pull. This velocity is the same velocity a rocket must have to escape the earth's gravitational pull. Shortly after launching of the multistage rocket on Saturday its final stage achieved a speed of seven miles a second to escape the earth's gravitational pull. Weight is the force exerted by a mass due to the earth's gravitational pull. Moon landings demanded launch vehicles that could lift from 27,200 to 36,300 kilograms into space fast enough to escape the earth's gravitational pull. A) The mass of the Shuttle B) Earth's gravitational pull C) Escape velocity of the Shuttle 10) What are two conditions that would cause the Space Shuttle or any other object orbiting the Earth, to move off into space? But it relates to the speed at which a rocket must be moving in order to escape the Earth's gravitational pull. A rocket launched from Kennedy Space Center must accelerate to 11. A) The mass of the Shu"
Mercury_416464,student used dimmest setting light microscope observe euglena amoeba. student shined narrow beam light top cover slip. observed euglena swam toward light amoeba not. knew amoeba alive slowly changed shape watched. inference student draw observation?,"We observed paramecium, euglena, amoeba, and stentor. Recommended for use before and after the laboratory observation of Amoeba , Volvox , Euglena , and their relatives. An amoeba is not observable by the naked eye, but it is observable through a light microscope. We observed the structure and eating methods of euglena, amoeba, and stentor. (Show before and after live observation of Amoeba, Euglena, and Volvox.) Observe the variation of the shape of the outline of the amoeba during phagocytosis. b. Living Amoeba proteus : Examine the container under the dissecting microscope and observe the living amoebas. In the circle to the right drawn a cartoon of several Amoeba cells at the magnification with which you observed the Amoeba through the microscope. Coloration The color of the AM-I-7 wt amoebae and the apparent consistency of their cytoplasm observed visually and through a light microscope depended on the food source, as indicated by the observations of vacuole contents set forth in Table I. A drop of saturated saline solution was then placed at the edge of the cover slip and an area containing amoebae kept under observation. We observed paramecium, euglena, amoeba, and stentor. In the circle to the right drawn a cartoon of several Amoeba cells at the magnification with "
Mercury_SC_406042,tropical rain forest contains many tall trees. Smaller plants large leaves grow base tall trees. large leaves likely adaptation plant due condition?,"All three plants originate in the tropical rain forests of Brazil, where they grow on other plants, usually tall trees. Trees in the tropical rain forests make up 70 percent of the plant species and can grow up to 200 feet tall. from tall forest trees and small trees and to large and small shrubs, to make full use of the space available and to grow plants in the conditions they would naturally inhabit. Tropical Rain Forest One of the most beautiful areas of SeaWorld features 30-foot tall bamboo trees, exotic banyan trees, and many other plants and trees commonly found in tropical rain forests. Woody vines grow in rain forest, and a large number of plants of the type called epiphytes live among the tall trees. The complex plant adaptations to tropical rain forest conditions are represented. THE RAIN FOREST THE RAIN FOREST The characteristic structure of the rain forest is many ""layers"" or levels of growth: starting with the tallest trees emerging from the canopy, many levels of shorter trees below that, tall shrubs, short shrubs, vines that grow up into the canopy, epiphytes (plants that grow on other plants, usually trees, which are not parasitic to the tree, but simply use it to ""perch"" on it) abound at every level, and lastly, small ferns and herbaceous (non-woody) plants at the ground level. These large leafed plants can grow to small tree size. Many small plants growing in the dense tropical forest are epiphytes. This group of extraordinary plants grows mainly in trees in tropical rain forests and moist mountain forests, but some species are also terrestrial. All three plants originate in the tropical rain forests of Brazil, where they grow on other plants, usually tall trees. THE RAIN FOREST THE RAIN FOREST The characteristic structure of the rain forest is many ""layers"" or levels of growth: starting with the tallest trees emerging from th"
Mercury_402363,"Red dominant white flower color particular plant. red flowered plant (RR) crossed white flowered plant (rr), color offspring be?","Allele Interactions (among variants, alleles, of the same gene): Incomplete Dominance -- Red-flowering snapdragons (RR) crossed with White-flowering snapdragons (R'R) produces heterozygous offspring (F1) that are pink (all are RR). With incomplete dominance, when a red flowered plant is crossed with a white flowered plant, the offspring will be (A) red (B) pink (C) white (D) all of these _____43. If a red flowering plant were mated to a white flowering plant one would expect red or white to be the color of their offspring, depending on which allele is dominant. Mate a red flower (RR) with a white flower (rr). A cross where a plant with red flowers is mated with a plant with white flowers and the offspring plants produce pink flowers is an example of ______________________ ______________________. For example, in some plants, crosses between red-flowered plants and white-flowered homozygous plants --&gt; offspring with pink flowers. rr = white flower color; If these red flowered offspring pea plants are self-crossed, then 3/4 of the offspring will be red flowered and 1/4 will be white flowered. Doing an experiment in population genetics, you assemble a population of 24 red-flowering plants (RR), 12 pink-flowering plants (Rr), and 14 white-flowering plants (rr). Allele Interactions (among variants, alleles, of the same gene): Incomplete Dominance -- Red-flowering snapdragons (RR) crossed with White-flowering snapdragons (R'R) produces heterozygous offspring (F1) that are pink (all are RR). A cross where a plant with red flowers is mated with a plant with white flowers and the offspring plants produce pink flowers is an example of _______"
MCAS_2003_8_8,rabbit population increased noticeably past ten years. following reasonable hypothesis population growth?,"the growth of population in the Inner Moray Firth area and the nature of the public transport network have led to a noticeable increase in traffic congestion over the past ten years, particularly within and on the outskirts of Inverness. THE NUMBER OF MILES DRIVEN IN OREGON HAS INCREASED AT NEARLY DOUBLE THE RATE OF POPULATION GROWTH IN THE PAST TEN YEARS. The percent population growth over the past ten years (1980 to 1990) was 16.5% versus a statewide percentage increase of 12.7%. In the past 25 years, the country's population has increased ten-fold and agricultural production has kept pace with this growth. With increased contraceptive use, the population growth rate has dropped from 2.9% to 2.1% over the past ten years. Population : The county experienced significant population growth during the past ten years. I also saw that in the past ten years these slower periods were followed by years of increased growth. Reasons for growth: Increase in population. The Past Ten Years No Growth - In addition, with increased contraceptive use, the population growth rate has dropped from 2.9 percent to 2.1 percent over the past ten years. the growth of population in the Inner Moray Firth area and the nature of the public transport network have led to a noticeable increase in traffic congestion over the past ten years, particularly within and on the outskirts of Inverness. With increased contraceptive use, "
Mercury_SC_415702,George wants warm hands quickly rubbing them. skin surface produce heat?,"The friction of the skin rubbing warms up your hands. The effect is somewhat like hand rubbing the skin to produce a warming effect, but this occurs deep in the tissue. If you rub your hands together, the surfaces warm up, and the explanation is that friction has converted kinetic energy associated with the moving hands into heat energy. DO NOT warm the victim by rubbing his or her skin or by applying direct heat. If you want to remove the loose skins from a few pounds quickly, rub them between your hands or in a towel. Because this heat is not conducted away quickly, the surface of the Styrofoam soon becomes as warm as your hand, so little or no additional heat leaves your hand. Gently rub both hands together and warm the oil with your body heat. Resting over the shoulder blades and producing a rubbing effect on the skin surfaces. Voluntary responses: You can increase heat production by wearing warm layers of clothing, rubbing your hands or partaking in other movement and curling up, which decreases the surface area through which heat is loss. The friction of the skin rubbing warms up your hands. Voluntary responses: You can increase heat production by wearing warm layers of clothing, rub"
Mercury_7165060,Scientists collecting samples sediment deposits Biscayne Bay. Test results show salinity bay increasing. human influence might led environmental change?,"Salinity Maps compare abundances of benthic foraminifers in modern sediment samples to modern salinity conditions in Florida Bay and Biscayne Bay. Our simulations showed that low salinity events resulting from high precipitation rates can lead to major changes in seagrass communities of Biscayne Bay. These changes in fresh water flows can lead to significant changes in the salinity fields within Biscayne Bay. Approximately 80 to 100 sediment samples will be collected in Sandusky Bay to increase the sediment quality database for the site and to determine the location and quality of sediment deposits at this site. Results of the Coliform sampling program for Biscayne Bay. Wanless, H.R. (1969) Sediments of Biscayne Bay - Distribution and Depositional History . Study of modern sediments and core sediments from Biscayne Bay will provide important information on past salinity and seagrass coverage, which will be useful for predicting future change within the Bay. The Biscayne Bay ecosystem shows increasing signs of distress; Bottom is shows position of sediment lobe as it continues to prograde into Biscayne Bay. Sediment cores are taken by scientists to obtain a record of human impacts,climate history, and biotic response to changes in dissolved oxygen, salinity, sediment influx, and water temperature in the Bay and its tributaries. Salinity Maps compare abundances of benthic foraminifers in modern sediment samples to modern salinity conditions in Florida Bay and Biscayne Bay. These changes in fresh water flows can lead to significant changes in the salinity fields"
Mercury_417572,"Rhinoceroses horses related. similar digestive systems odd number toes feet. Horses one toe, rhinoceroses three. facts best support claim?","The zoo turned to the horse industry because horses are the closest domestic relatives of the rhinoceros: their toes are both in the odd-number range (horses have one toe, rhinos have three.) Imparidigitate ( a. ) Having an odd number of fingers or toes, either one, three, or five, as in the horse, tapir, rhinoceros, etc. Imparipinnate ( a. ) Pinnate with a single terminal leaflet. Having an odd number of fingers or toes, either one, three, or five, as in the horse, tapir, rhinoceros, etc. Im*par""i*pin""nate (?) Having an odd number of fingers or toes, either one, three, or five, as in the horse, tapir, rhinoceros, etc. Im*per""i*pin""nate (?) (Zo&ouml;l.) A division of ungulate mammals, including those that have an odd number of toes, as the horse, tapir, and rhinoceros; Perissodactyla ( n. pl. ) A division of ungulate mammals, including those that have an odd number of toes, as the horse, tapir, and rhinoceros; Horses normally have only one toe per foot, but are descended from horses with three or four toes on each limb. , n. [NL., from Gr. (Zo\'94l.) A division of ungulate mammals, including those that have an odd number of toes, as the horse, tapir, and rhinoceros; The zoo turned to the horse industry because horses are the closest domestic relatives of the rhinoceros: their toes are both in the odd-number range (horses have one toe, rhinos have three.) A "
MEA_2014_8_6,"ball dropped different heights. ball dropped highest height, makes greatest noise vibration lands ground. best explanation ball making greatest noise?","It just makes a grinding noise. The machine will grind and make noises. (It is vibrating and making noise.) (It is vibrating and making a noise.) Try dropping the balls from different heights - does it make a difference? When you bang the side of a glass, the noise it makes depends on the height of glass that is free to vibrate. Is there a grinding noise or vibration? QUINT: They used to make cannon balls by dropping the lead from a great height. Concentrate, while making grinding noises. It just makes a grinding noise.) Try dropping the "
Mercury_7230300,Late Heavy Bombardment period extensive comet impact Earth 3.8 billion years ago. Scientists believe period provided much matter found part Earth system?,"But 3.9 billion years ago, in the late formative period of the Earth, scientists believe comets were decidedly more common. x&&i Life on Earth began at the end of a period called the late heavy bombardment, some 3.8 billion years ago. Life on Earth began at the end of this period called the late heavy bombardment, some 3. Life on Earth began at the end of a period called the late heavy bombardment, some 3. ' Because the researchers have seen so many star-grazing comets, it appears the systems are in a heavy bombardment period, similar to the bombardment period which left the great craters on the surface of Earth's moon over four billion years ago. Four billion years ago, during what planetary scientists call the Period of Heavy Bombardment, there would have been much, much more. One long-held view was that a swarm of comets entered the inner solar system at the end of the planets' assembly, bombarding the terrestrial worlds roughly 4 billion years ago during what's termed the ""late heavy bombardment."" But 3."" "
NCEOGA_2013_5_26,student notices inflated balloon gets larger warmed lamp. best describes mass balloon result change?,"Large Balloons or Inflatables. (The directions do not instruct the student to determine the mass of the balloon that is to be inflated before hand). Students will inflate several balloons. Awareness that even air has mass, can easily be demonstrated by students using a balance and both inflated and non-inflated balloons. Performance Standards The student : 4.8.1 Collects data to show that air has mass and volume (e.g., balances a meter stick with inflated balloons tied to the ends, predicts what will happen if one balloon is deflated, and then pops or deflates one balloon [making sure not to lose any pieces], and observes and describes what happens; Tow balloon, packages, largely inflated main balloon. The small balloon will inflate the large balloon, and deflate itself. Day 2: Get balloons and have each student inflate one. The inflation of a large balloon is a dramatic sight. Large Balloons or Inflatables., balances a meter stick with inflated balloons tied to the ends, predicts what will happen if one balloon is deflated, and then pops or deflates one balloon [making sure not to lose any pieces], and observes and describes what happens; Tow balloon, packages, largely in"
Mercury_7085575,resource used causes pollution?,"Wasteful and inefficient use of resources is the No. 1 cause of pollution. Ideally, polluters and resource users should pay for damages caused or resources used. It wastes resources and causes pollution. Focuses on market failure as a cause 
of inefficient resource use, depletion, and environmental pollution. Focuses on market failure as a cause of inefficient resource use, depletion, and environmental pollution. Wasteful and inefficient use of resources is the number one cause of pollution. Cars use an excessive amount of energy and resources and a a major cause of pollution. REFERENCE SECTION : POLLUTION The root cause of pollution is Man's unique ability to over-use the biosphere's natural resources; Wasteful and inefficient use of resources is the No. REFERENCE SECTION : POLLUTION The root cause of pollution is Man's unique ability to over-use the "
Mercury_7217963,"Due increasing average temperature atmosphere, polar ice sheets melt greater rate form. effect continued melting polar ice?",Surface melting on polar ice sheets occurs as temperatures increase. and the formation and melting of polar ice sheets. A weak reduction of albedo would simply increase the temperature of the polar ice with little effect on the melting of the ice; This phenomenon is called the greenhouse effect and some people fear that if the average temperature on earth continues to rise the polar ice caps could melt and cause floods. - Glaciers and polar ice will continue to melt. Glaciers and polar ice will continue to melt. A small increase in the amount of carbon dioxide in the atmosphere could raise the Earth s temperature to melt the polar ice caps. Increasing temperatures at high latitudes will increase melting of polar ice in the Arctic and Antarctic. Some computer models show that increased global temperatures would partially melt polar ice sheets and raise sea levels. Surface melting on polar ice sheets occurs as temperatures increase. A weak reduction of albedo would simply increase the temperature of the polar ice with little effect on the melting of the ice; This phenomenon is called the greenhouse effect and some people fear that if the average temperature on ear
Mercury_SC_405207,activity invention light bulb helped most?,"The most famous of his inventions was the incandescent light bulb. The most famous of his inventions was an incandescent light bulb. L.E.D. lights are the most revolutionary innovation in lighting since the invention of the light bulb. When was the light bulb invented? Who invented the light bulb? Tommy invented the light bulb. (We invented the light bulb.) The light bulb is only an invention. The invention of 
the light bulb. The most famous of his inventions was the incandescent light bulb. The most fa"
Mercury_SC_407431,Aluminum containers melted made new products. recycling aluminum likely benefit communities?,"Aluminum minimill threat crumples Aluminum minimills, like their counterparts in steel, melt recycled aluminum scrap in furnaces to make molten aluminum. When aluminum cans are recycled, the aluminum is melted, pressed into sheets, and reformed into a new product. An example is collecting aluminum cans, melting them down, and using the aluminum to make new cans or other aluminum products. The combination of economic benefits, melt stability, ease of recycling and product performance makes PRIMEX CONCENTRATE&#153; feedstock the ideal foundry material for reinforced aluminum MMC components worldwide. Paper, aluminum, and glass can be recycled and then used to make new containers. RECYCLE To make materials such as glass, aluminum, paper, steel, and plastic into new products. RECYCLE : To make materials such as glass, aluminum, paper, steel, and plastic into new products. // --> Activities A new look at junk, or change the world, one bit a a time.. Things to discuss when it comes to saving resources. Recycling is when an object can be shredded, melted or otherwise processed and then turned into new raw material -- for instance, aluminum cans can be melted down to make more cans, glass can make more glass, cardboard and paper make more coardboard and paper, plastic bags and containers can be turned into other plastic products. Aluminum Beverage Cans: About 50% of the aluminum in beverage cans comes from used cans that were recycled and melted to make new cans. Aluminum minimill threat crumples Aluminum minimills, like their counterparts in steel, melt recycled aluminum scrap in furnaces to make molten aluminum. Aluminum minimill threat crumples Aluminum minimills, like their counterparts in steel, melt recy"
Mercury_7228025,"factor best explains many diseases, cancer, formed within body?","Many diseases seem to have an genetic factor, for example Alzenheimer's disease, glaucoma, certain forms of obesity, retinal detachment, diabetes II and cancer, and there are many more geners that weaken the body or make some diseases likelier. Lower risk factors in Heart Disease and many forms of Cancers. Excess body weight is associated as a risk factor for many different diseases (including heart disease, diabetes, several cancers, and gallstones). Many scientists have considered innumerable factors in explaining increased rates of cancers and heart disease. ""Many of these diseases are lethal forms of cancer. for many forms of cancer and blood diseases. Interviewed in his laboratory in the Life Sciences Building, Ewald explains his radical theory that many chronic diseases long ascribed to genetic or environmental factors--including some forms of heart disease, cancer, mental illness, even auto-immune disease--may actually be caused by infections. A body in good health is less at risk for chronic diseases such as heart disease, stroke, cancer, osteoporosis, diabetes, and many others. A: Kidney disease may be caused by many factors, such as injury, infection, cancer, or disorders in other parts of the body. Many diseases seem to have an genetic factor, for example Alzenheimer's disease, glaucoma, certain forms of obesity, retinal detachment, diabetes II and cancer, and there are many more geners that weaken the body or make some diseases likelier. Interviewed in his laboratory in the Life Sciences Building, Ewald explains his radical theory that many chronic diseases long ascribed to genetic o"
TIMSS_1995_8_N3,cupful water similar cupful gasoline placed table near window hot sunny day. hours later observed cups less liquid less gasoline left water. experiment show?,and place it in a cup of hot water. Place the cups in a sunny place and water regularly. Place cups in a pan and surround cups with hot water. Place cups in a pan of hot water. Place the cup in a pan of hot water. Place the cups in a sunny area and water them often. and place it in a cup of hot water. Place the cup in
MSA_2013_5_33,"Beach pollution includes sewage, paper plastic containers, oil boats. beach activity likely increases beach pollution?","It is an active commerce and tourism centre, and human impacts on the reefs include sewage pollution, dredging, coastal construction, over-fishing, tourism, oil pollution, and boat and anchor damage. No oil, or pollutants including sewage shall be discharged overboard. beach pollution and sewage; This includes: oil pollution, pollution by sewage waste and garbage and hazardous materials and wastes. Other pollutants to this region resulting from boating activities include oil and fuel emissions, accidental spills, coliform bacteria from 
boat sewage discharges, solvents used during routine cleaning and solid waste such as trash and debris. Ships pollute the oceans when they dump plastic bags, oil, sewage and garbage. Pollution includes oil slicks, chemical effluent, sewage and litter (from ships at sea, rivers and beach users). The issues included sewage pollution, non-biodegradable pollution (plastics, glass, styrofoam), sediment problems, radioactive substances, oil pollution, overfishing, habitat destruction, use of marine plants and animals as pharmaceutical agents, and other problems like red tide, aquaculture, organochlorides, heavy metals, etc. The rules address litter, oil pollution, vessel maintenance, and boat sewage management. It is an active commerce and tourism centre, and human impacts on the reefs include sewage pollution, dredging, coastal construction, over-fishing, tourism, oil pollution, and boat and anchor damage. It is an active commerce and tourism centre, and human impa"
Mercury_404903,"child scrapes foot piece rusty metal, important get medical treatment","Rusty Pieces of Metal. The match scraped on rusty metal and a flame flashed in the darkness. Most of the metal pieces are grungy but not rusty. Take the disk piece and rusty metal. I gave the guy $200 for this rusty piece of metal. At the surface, I kicked a piece of rusty metal. Oxidation can be observed by studying a rusty piece of metal. Medication is often an important piece of the treatment plan for these children. Rusty Pieces of Metal. Most of the metal pieces a"
Mercury_7246978,energy conversion happens person shivers energy transferred make muscles joints move?,"Shivering makes your muscles move, which warms you up. The shivering begins, which makes their muscles move and the rest of their body soon follows. Muscles expand and contract to make the joint move. The pain may be so severe, a person will avoid using the joint, weakening the muscles around the joint and making it even more difficult to move the joint. Shivering requires energy and how long a person can shiver depends on the amount of glucose stored in muscle tissue and by the amount of oxygen and water available. When we get too cold, our muscles make extra energy to heat us by doing extra contractions (shivering). Usually the pain has become so severe that a person avoids using the joint, weakening the surrounding muscles and making it even more difficult to move the joint. The resulting pain can be so severe that a person will avoid using the joint, which in turn weakens the muscles around the joint, making it even more difficult to move. They need to shiver to warm up their muscles enough to move. Shivering makes your muscles move, which warms you up. Muscles ex"
Mercury_7212730,following greatest effect speed sound travels gas?,"There are three speeds and great sound effects. Which of the following is the speed of sound in helium gas? It made no sound and traveled at a great rate of speed. By changing the temperature of the exhaust gas inside the pipe, you change the speed at which the sound waves travel, effectively changing the length of the pipe. It would travel at the speed of sound, and go about 600 miles on a thimble of gas. It would travel at the speed of sound, and go about 600 miles on a thimble of gas . There are three speeds and great sound effects."
Mercury_SC_409238,"owl hunts mice live farmer's field. farmer gathers crops, mice fewer places hide. likely happen crops gathered?","In autumn, the farmer hastens to the field, to gather his crops. The farmer gathers the best of his crop. Many contemporary farmers still hunt, while some of the few extant hunter-gatherers cultivate and harvest crops. The City maintains the fields and a farmer contracts pickers to gather the crop. In Karnataka, farmers have gathered on Monsanto's fields and publicly burned the crops. In the autumn we have the harvest, the time when the farmers in the fields gather their crops. In this age of information overload, farmers are finding there's no place like home to gather valuable data to make cropping decisions on their farms. The crops produced in the Fields of God were owned by the commune, whereas the crops gathered in the Fields of Man were kept by the individual farmers. In autumn, the farmer hastens to the field, to gather his crops. In this age of information overload, farmers are finding t"
Mercury_7233748,"water use consumptive. Instead returning source, water evaporates reservoirs transpires crops. type use likely affect hydrosphere?","Consumptive use is that part of water withdrawn that is evaporated, transpired, or incorporated into products or crops. Withdrawal refers to water extracted from surface or ground water sources, with consumption being that part of a withdrawal that is ultimately used and removed from 
the immediate water environment whether by evaporation, transpiration, incorporation into crops or a product, or other consumption. For crop production systems, plant transpiration and evaporation from soil and crop surfaces accounts for almost all the water that is consumptively used. Consumptive use is water evaporated, transpired, combined into products or crops, or consumed by humans or livestock and not immediately available for reuse. CONSUMPTIVE WATER USE, IRRIGATION &#151;The quantity of water that is absorbed by the crop and transpired or used directly in the building of plant tissue, together with that evaporated from the cropped area. Crop consumptive water use is the amount of water transpired during plant growth plus what evaporated from the soil surface and foliage in the crop area. Crop consumptive water use is the amount of water transpired during plant growth plus what evaporated from the soil 
surface and foliage in the crop area. Crop Consumptive Use: The amount of water transpired during plant growth plus what evaporated from the soil surface and foliage in the crop area. Consumptive use is that part of water withdrawn that is evaporated, transpired, or incorporated into products or crops. Consumptive use is water evaporated, transpired, combined into products or crops, or consumed by humans or li"
Mercury_411013,male fruit fly homozygous dominant gray-body color (G) crossed female fruit fly homozygous recessive ebony-body color (g). probable phenotypes offspring?,"Let's use the Punnett square to predict the results of a monohybrid cross between the homozygous dominant gray-bodied male with a homozygous recessive ebony-bodied female. Let's use the Punnett square to predict the results of a monohybrid cross between the homozygous dominant gray-bodied male with a homozygous recessive ebony-bodied 
female. Activity: Bugsy, a male fruit fly, who is homozygous dominant for body color marries Daisy, a female fruit fly, who is homozygous recessive for body color. A homozygous, recessive, ebony body, female fly is crossed with a homozygous, wild type male that has been treated with X-rays. What might be the gametes formed by a female fruit fly that is homozygous recessive for ebony body color? For example, what might be the gametes formed by a male fruit fly that is homozygous dominant for gray body color? If you crossed a homozygous ebony body male with a homozygous apterous wing female, what would the F2 genotypic and phenotypic ratios be assuming you produced the F2 by crossing two of the F1 flies together? gray body color (G) is dominant over ebony color (g); Let's use the Punnett square to predict the results of a monohybrid cross between the homozygous dominant gray-bodied male with a homozygous recessive ebony-bodied female. A homozygous, rece"
Mercury_7267925,outer layers astronauts' space suits reflective order protect,"America's first astronauts come to BFGoodrich for the suits that will protect them in outer space. The suits are designed with layers to protect astronauts from the various threats of space. The means to protect astronauts in the harsh environment of space There is numerous equipment, beginning with the space suit, that helps astronauts who venture out into the harsh environment of outer space. This amazing suit protects astronauts from extreme temperatures, tiny pieces of meteors and other outer space hazards. In order to perform an activity outside the protection of a space vehicle, an astronaut must be protected by a pressurized space suit. In order to protect astronauts from an extremely hostile environment, space suits are worn during the more dangerous phases of a space flight. The space suit provides protection to the astronaut from micrometeoroids. These reflective layers are protected from environmental hazards by protective outer surface layers. Space suits used by shuttle astronauts include 11 layers of material. There is emphasis on how a space suit can protect astronauts from the space environment. America's first astronauts come to BFGoodrich for the suits that will protect them in outer space. America's first astronauts"
Mercury_7111248,One astronomical unit average distance Earth Sun. unit often used describe distance two objects?,"astronomical unit (A.U.): The average distance between the Sun and the Earth, often used when describing distances within the solar system. The earth distance is the distance of the object from Earth, in Astronomical Units (1 Astronomical Unit, or AU, is the average distance of the Earth from the Sun). one astronomical unit is equal to the average distance between the Earth and the Sun). (One astronomical unit is approximately the average distance between the Earth and the Sun.) One astronomical unit is equal to the average distance of the Earth from the Sun. The average sun-earth distance is 1.5x108 km or one Astronomical Unit (1AU). One AU, or Astronomical Unit, is the average distance of the Earth from the sun. astronomical unit (A. The earth distance is the distance of the objec"
LEAP__7_10338,example describes behavioral adaptation?,"SDL describes adaptive behavior and adaptation strategies. The behavior is best described by example. Give examples of structural and behavioral adaptations. 3- Give examples of behavioral adaptations. This paper describes how information about a behavior or task can be used to adapt existing examples to changes in the environment or .. .task for complex, coordinated behaviors such as walking or running. BEHAVIORAL ADAPTATION Behavior may be adaptive, for example to ecological condition. Students will describe the adaptations, habitats and behaviors of these local animals. The behavior you describe is due to adaptive-fill-mode. D. Describe adaptive (prosocial) behaviors that will be reinforced. SDL describes adaptive behavior and adaptation strategies. Give examples of structural and behavioral adaptati"
Mercury_SC_LBS10656,results chemical change?,"Chemical changes are a result of chemical reactions. No chemical change results. As a result of chemical change, toxin is produced. Chemical change results in a new substance. These are similar to chemical changes as a result of cooking. The result is a chemically changed diamond surface. the result, of course, is that the rock is chemically changed. Off flavors are the result of this chemical change. It's the result of the ongoing chemical changes and electrical changes in the brain. Chemical changes are a result of chemical reactions. It's the result of the"
Mercury_7114818,type bird Africa eats blood-sucking insects large mammals. word best describes relationship bird mammals?,"These birds eat insects and small mammals. Eating Habits: They eat small mammals, birds, reptiles, amphibians and large insects. It eats other reptiles, birds, small mammals, and large insects. This is the surface of the tube that the insect uses to suck the blood of mammals. A small insect parasitic on and sucking the blood of mammals. Flea (insect) Flea, is a small, wingless insect that lives on mammals and birds and sucks blood for food. they will suck blood from mammals, birds, reptiles, and amphibians. They eat insects, reptiles, small birds, and mammals. They eat small mammals, birds, insects, and fruits. They eat fish, insects, small mammals and birds. These birds eat insects and small mammals. These birds eat insects and small m"
Mercury_7084298,Two elements group Periodic Table Elements similar,"Periodic Table: The Periodic Table organizes elements and their atoms into groups with similar characteristics. Periodic Table : Elements, compounds, Group similarities of groups 1 &amp; 7. Gallium is chemically similar to aluminum, the element above it in group IIIa of the periodic table . Grouping of elements with similar properties within the periodic table is stressed. The Periodic Table organizes elements and their atoms into groups with similar characteristics. Different columns of the periodic table group elements with similar properties; to understand how elements with similar properties are classified into groups and periods on the table. Periodic Table: The Periodic Table organizes elements and their atoms into groups with similar characteristics. Different columns of the periodic table group elements with similar properties; to understand how elements with similar properties are classified into "
Mercury_7132108,best represents use mechanical energy?,"Use conservation of Mechanical Energy. (3) The use of non-polluting renewable energy sources represents good housekeeping. You will see that our stated ratings are in electric energy which represents the true energy available for battery charging or useful work and not in mechanical energy taken in the wind. Emphasis is placed on mechanical and electrical forms of energy and how this energy is used in the transportation of goods, services and people. It represents a special use of that mechanism. Instrumentation is used to acquire data from representative systems that include 
mechanical, thermal, solar, chemical and nuclear energy. Use conservation of Mechanical Energy. (3) The use of non-polluting renewabl"
Mercury_SC_412487,scientist measuring amount movement along fault. tool best used making measurement?,"Scientists sort items and name categories Scientists make comparisons Scientists make measurements Scientists use tools and equipment. Predict and use tools to measure this movement. In places along the fault zone where the rock exposures are good, we can measure the amount of movement that occurred. Measuring fault movements. The amount of movement that can be measured on each individual fault varies, depending upon where along the trace of the fault measurements are made. Measurements of the amount of virus in the blood may be a useful tool that will help make these decisions. Tools help scientists make better observations and measurements. A scientist's most important tools are the ones used for measuring. Scientists sort items and name categories Scientists make comparisons Scientists make measurements Scientists use tools and equipment. The amount of movement that can be measured on each individual fault varies, depend"
CSZ20059,action result product new chemical properties?,"nearly all products of industry that result in changed conditions or properties, as the result of direct action of a the human hand, chemical processes or machinery; b) Chemical properties - properties that result in 
chemical reactions by the formulas for reactants and products. Chemical changes result in new substances with new properties. The results of this new research, coupled with the considerable body of data which already exist on the properties of chemicals, will guide chemical manufacturers and policymakers in future product stewardship management. and that the new products possess distinct chemical properties. The mechanical, chemical or electronic transformation of property into new products. This activation results in the production of new chemicals within the cell. PRODUCT New substance produced as the result of a chemical reaction. Britiani Vocabulary carbohydrate chemical bond chemical property physical property property protein Chemical change is any change that results in the formation of new chemical substances. Such a change may result in significant changes in the toxicological or chemical properties of the product. nearly all products of industry that result in changed conditions or properties, as the result of direct action of a the human hand, chemical processes or machinery; b) Chemical properties - properties that result in 
chemical reactions by the formulas for reactants and products. The results of this new research, coupled with the cons"
Mercury_7038203,"finger cut bleeds, platelets plasma proteins move cut stop bleeding. move cut, stimulates platelets proteins move cut stop bleeding. type mechanism illustrated?","Without platelets, they will be unable to stop bleeding if cut. When you cut your finger, the bleeding stops because platelets have plugged up the holes in all the blood vessels that were cut. Plasma is a source of proteins that stop bleeding. Platelets help your body stop bleeding from knicks or cuts. When we cut our hands, the platelets are the cells that stop the bleeding. Cuts: First stop the bleeding. The cuts, sealing and stopping their bleeding. It stops the bleeding in any cut. When you cut your skin and it begins to bleed, platelets go to the injured site, clump together and stop the bleeding. Without platelets, they will be unable to stop bleeding if cut. The cuts, sealing and stopp"
